STRIKE,DTE,MARK_IV,BID_PRICE,ASK_PRICE,QUOTE_DATE,EXPIRY_DATE,DELTA,GAMMA,VEGA,THETA,MONEYNESS,NEGOTIATED_PRICE
10,101,0.7656979560852051,36.78714370727539,48.10218811035156,2013-03-12,2013-06-21,0.5410518646240234,0.0012603747891262,17.726661682128906,-10.313029289245604,7.8269996643,11.315044403076172
54000,70,0.6988416910171509,26.44428062438965,26.45428062438965,2013-03-08,2013-05-17,0.6891632676124573,0.0024100979790091,17.856019973754883,-17.350345611572266,0.0014111110545925,0.0100000000000015
68000,652,0.6602646112442017,24.39111328125,24.40111328125,2013-03-07,2014-12-19,0.6337649822235107,0.0051199779845774,17.01473045349121,-30.40973854064941,0.0011232352537205,0.0100000000000015
80000,196,0.6349145174026489,24.22167205810547,24.23167205810547,2013-03-08,2013-09-20,-0.2282062023878097,0.0052968598902225,20.444129943847656,-26.9044246673584,0.00095249996185,0.0100000000000015
50000,36,0.6625382900238037,26.85294914245605,28.594913482666016,2013-03-14,2013-04-19,0.5388627648353577,0.001714571728371,17.134021759033203,-13.684348106384276,0.00157800003052,1.741964340209961
56000,10,0.7471107840538025,25.02090072631836,25.0886173248291,2013-03-05,2013-03-15,0.7172750234603882,0.0039287256076931,14.511025428771973,-24.03587913513184,0.0012792857033928,0.0677165985107421
88000,9,0.6007715463638306,24.91982078552246,24.929820785522463,2013-03-06,2013-03-15,-0.3196178078651428,0.006530909333378,24.102548599243164,-30.187166213989254,0.0008144317973749,0.0100000000000015
80000,294,0.6305914521217346,24.417238235473636,24.427238235473634,2013-03-01,2013-12-20,-0.2300080507993698,0.0060307052917778,21.91942405700684,-25.836196899414062,0.00088175001145,0.0100000000000015
60000,1010,0.753713846206665,25.62311363220215,25.63311363220215,2013-03-13,2015-12-18,0.6711771488189697,0.0038803692441433,17.80706024169922,-33.8600959777832,0.0013148333231666,0.0100000000000015
88000,196,0.6297858357429504,24.61969947814941,24.629699478149416,2013-03-08,2013-09-20,-0.2965340912342071,0.0058792731724679,23.44076156616211,-26.49342918395996,0.0008659090562272,0.0100000000000015
80000,7,0.6349145174026489,24.22167205810547,24.23167205810547,2013-03-08,2013-03-15,-0.2282062023878097,0.0052968598902225,20.444129943847656,-26.9044246673584,0.00095249996185,0.0100000000000015
72000,98,0.7069816589355469,24.085603713989254,24.09560371398926,2013-03-15,2013-06-21,0.0533396750688552,0.004596269223839,11.89770221710205,-38.206844329833984,0.0011076388888888,0.0100000000000015
50000,74,0.680359423160553,25.73872947692871,25.748729476928716,2013-03-04,2013-05-17,0.6925666928291321,0.0029113690834492,16.677343368530273,-15.539209365844728,0.00140559997558,0.0100000000000015
60000,64,0.756243109703064,25.39969253540039,25.409692535400392,2013-03-14,2013-05-17,0.6567580699920654,0.0038601765409111,17.976343154907227,-36.243900299072266,0.0013150000254333,0.0100000000000015
100000,283,0.6345983147621155,25.97494125366211,25.98494125366211,2013-03-12,2013-12-20,-0.3588871359825134,0.0054040681570768,24.043228149414062,-29.51067924499512,0.00078269996643,0.0100000000000015
40000,102,0.7451580166816711,28.759899139404297,31.6053524017334,2013-03-11,2013-06-21,0.5186376571655273,0.0016388200456276,17.572486877441406,-16.15277671813965,0.00194375,2.8454532623291016
68000,200,0.6667502522468567,24.610015869140625,24.620015869140627,2013-03-04,2013-09-20,0.7279506921768188,0.0060715391300618,16.588470458984375,-29.18185806274414,0.0010335293938088,0.0100000000000015
51000,14,0.7148392796516418,25.54820251464844,25.55820251464844,2013-03-01,2013-03-15,0.6723905205726624,0.0034482441842556,16.599468231201172,-17.772335052490234,0.0013831372728627,0.0100000000000015
48000,654,0.7444621324539185,26.154220581054688,26.60019874572754,2013-03-05,2014-12-19,0.654501736164093,0.002436340553686,17.097442626953125,-16.65802764892578,0.0014924999872916,0.4459781646728515
44000,1012,0.7395513653755188,27.979278564453125,30.147476196289062,2013-03-11,2015-12-18,0.5172024965286255,0.0017495057545602,17.574792861938477,-16.17258644104004,0.0017670454545454,2.168197631835937
84000,1008,0.6508933901786804,24.0411434173584,24.0511434173584,2013-03-15,2015-12-18,-0.3370943963527679,0.005813589785248,26.1718692779541,-39.912784576416016,0.0009494047619047,0.0100000000000015
68000,46,0.6667502522468567,24.610015869140625,24.620015869140627,2013-03-04,2013-04-19,0.7279506921768188,0.0060715391300618,16.588470458984375,-29.18185806274414,0.0010335293938088,0.0100000000000015
74000,42,0.6471243500709534,24.22794342041016,24.23794342041016,2013-03-08,2013-04-19,0.301313042640686,0.0051025440916419,14.382895469665527,-26.189207077026367,0.0010297296884864,0.0100000000000015
80000,36,0.658311665058136,24.02053451538086,24.03053451538086,2013-03-14,2013-04-19,-0.1299144923686981,0.0050348262302577,19.21121025085449,-40.011451721191406,0.000986250019075,0.0100000000000015
50000,100,0.6630153059959412,27.06001091003418,28.884071350097656,2013-03-13,2013-06-21,0.5326717495918274,0.0017257918370887,17.14810562133789,-13.78370761871338,0.0015777999878,1.8240604400634768
68000,8,0.6602646112442017,24.39111328125,24.40111328125,2013-03-07,2013-03-15,0.6337649822235107,0.0051199779845774,17.01473045349121,-30.40973854064941,0.0011232352537205,0.0100000000000015
80000,74,0.6283407211303711,24.4964656829834,24.5064656829834,2013-03-04,2013-05-17,-0.2095117419958114,0.0059507996775209,21.045289993286133,-24.955699920654297,0.0008784999847374,0.0100000000000015
86000,70,0.6301742196083069,24.54827117919922,24.55827117919922,2013-03-08,2013-05-17,-0.301480621099472,0.0059105376712977,23.44882202148437,-27.013029098510746,0.0008860464761395,0.0100000000000015
52000,100,0.6406833529472351,26.736549377441406,28.272470474243164,2013-03-13,2013-06-21,0.6633092761039734,0.0020392783917486,17.115694046020508,-13.845396995544434,0.0015171153728846,1.5359210968017578
92000,64,0.6501624584197998,24.97829818725586,24.98829818725586,2013-03-14,2013-05-17,-0.3865702748298645,0.0059274244122207,26.754920959472656,-39.47735977172852,0.0008576087122391,0.0100000000000015
96000,38,0.6356362700462341,25.21957015991211,25.22957015991211,2013-03-12,2013-04-19,-0.3641791343688965,0.0056568025611341,24.303619384765625,-29.524229049682617,0.0008153124650312,0.0100000000000015
100000,1381,0.6346139311790466,26.048131942749023,26.33251571655273,2013-03-06,2016-12-16,-0.3511404991149902,0.0058910772204399,24.94571304321289,-26.036346435546875,0.0007166999816899,0.2843837738037109
105000,2,0.714603841304779,26.487154006958008,26.56628799438477,2013-03-13,2013-03-15,-0.3541641235351562,0.0037837643176317,23.94059181213379,-36.09743881225586,0.0007513333275238,0.0791339874267578
60000,288,0.7380858063697815,25.517078399658203,25.527078399658205,2013-03-07,2013-12-20,0.7431803345680237,0.0042375181801617,15.283577919006348,-30.004018783569336,0.0012729999542166,0.0100000000000015
84000,284,0.630376935005188,24.397216796875,24.407216796875,2013-03-11,2013-12-20,-0.3317663967609405,0.0060134828090667,27.20236587524414,-30.827531814575195,0.0009255952380952,0.0100000000000015
58000,9,0.8146759271621704,24.85363006591797,24.86363006591797,2013-03-06,2013-03-15,0.7281650304794312,0.0040131420828402,13.184900283813477,-24.9058895111084,0.0012356896236034,0.0100000000000015
48000,464,0.6801396012306213,27.546566009521484,29.024259567260746,2013-03-13,2014-06-20,0.5313021540641785,0.0016225782455876,17.11919403076172,-13.74518871307373,0.0016435416539583,1.4776935577392578
70000,3,0.6757192015647888,24.140962600708008,24.15096260070801,2013-03-12,2013-03-15,0.5390728116035461,0.004905751440674,17.067705154418945,-28.50741195678711,0.0011181428091857,0.0100000000000015
