UNDERLYING_PRICE,STRIKE,DTE,OPTION_RIGHT,MARK_IV,BID_PRICE,ASK_PRICE,QUOTE_DATE,EXPIRY_DATE,DELTA,GAMMA,VEGA,THETA,RHO,MID_PRICE,MONEYNESS,ASK_USD,BID_USD,NEGOTIATED_PRICE
58529.2644,53000.0,0.16657,put,77.88,0.0,0.0001,2024-09-01,2024-09-01,0.0,0.0,0.0,0.0,0.0,5e-05,1.1043257433962264,5.85292644,0.0,2.92646322
58529.2644,54000.0,0.16657,put,69.47,0.0,0.0002,2024-09-01,2024-09-01,0.0,0.0,2e-05,-4e-05,0.0,0.0001,1.0838752666666667,11.70585288,0.0,5.85292644
58529.2644,55000.0,0.16657,put,69.47,0.0,0.0003,2024-09-01,2024-09-01,-5e-05,0.0,0.00274,-0.0107,-2e-05,0.00015,1.0641684436363636,17.55877932,0.0,8.77938966
58529.2644,56000.0,0.16657,put,69.45,0.0,0.0003,2024-09-01,2024-09-01,-0.00221,1e-05,0.0912,-0.59627,-0.00065,0.00015,1.0451654357142857,17.55877932,0.0,8.77938966
58529.2644,56500.0,0.16657,put,66.2,0.0,0.0001,2024-09-01,2024-09-01,-0.00646,2e-05,0.22845,-1.75136,-0.00176,5e-05,1.0359161840707964,5.85292644,0.0,2.92646322
58529.2644,57000.0,0.16657,put,64.97,0.0001,0.0002,2024-09-01,2024-09-01,-0.02857,8e-05,0.82223,-9.02918,-0.00777,0.00015000000000000001,1.0268292,11.70585288,5.85292644,8.77938966
58529.2631,57500.0,0.16657,put,51.58,0.0001,0.0003,2024-09-01,2024-09-01,-0.05385,0.00017,1.37399,-14.81543,-0.01458,0.00019999999999999998,1.017900227826087,17.55877893,5.85292631,11.70585262
58529.2631,58000.0,0.16657,put,43.22,0.0006,0.0011,2024-09-01,2024-09-01,-0.16252,0.00045,3.0871,-46.80344,-0.04401,0.0008500000000000001,1.0091252258620689,64.38218941,35.11755786,49.749873635
58529.2644,58500.0,0.16657,put,34.66,0.0022,0.0031,2024-09-01,2024-09-01,-0.47171,0.00091,4.99769,-86.61625,-0.12785,0.00265,1.0005002461538461,181.44071964,128.76438168,155.10255066000002
58529.2631,59000.0,0.16657,put,34.29,0.0075,0.011,2024-09-01,2024-09-01,-0.86106,0.00051,2.78093,-47.67705,-0.23435,0.00925,0.9920214084745762,643.8218940999999,438.96947324999996,541.3956836749999
58529.2631,59500.0,0.16657,put,48.02,0.0145,0.019,2024-09-01,2024-09-01,-0.94422,0.00019,1.41278,-33.92295,-0.25899,0.01675,0.983685094117647,1112.0559988999998,848.6743149499999,980.3651569249998
58529.2631,60000.0,0.16657,put,58.7,0.023,0.027,2024-09-01,2024-09-01,-0.97523,8e-05,0.72834,-21.37839,-0.26961,0.025,0.9754877183333333,1580.2901037,1346.1730513,1463.2315775
58529.2631,60500.0,0.16657,put,61.23,0.032,0.0355,2024-09-01,2024-09-01,-0.99403,2e-05,0.21262,-6.50969,-0.27696,0.03375,0.9674258363636363,2077.7888400499996,1872.9364191999998,1975.3626296249997
58529.2631,61000.0,0.16657,put,61.23,0.04,0.045,2024-09-01,2024-09-01,-0.99914,0.0,0.037,-1.13296,-0.28179,0.042499999999999996,0.9594961163934426,2633.8168395,2341.170524,2487.49368175
58529.2631,61500.0,0.16657,put,61.23,0.0485,0.053,2024-09-01,2024-09-01,-0.99991,0.0,0.00438,-0.13395,-0.28431,0.05075,0.9516953349593495,3102.0509442999996,2838.66926035,2970.360102325
58529.2631,62000.0,0.16657,put,61.23,0.057,0.0615,2024-09-01,2024-09-01,-0.99999,0.0,0.00036,-0.01102,-0.28664,0.05925,0.9440203725806451,3599.5496806499996,3336.1679967,3467.858838675
58529.2631,62500.0,0.16657,put,61.24,0.0655,0.07,2024-09-01,2024-09-01,-1.0,0.0,2e-05,-0.00064,-0.28896,0.06775,0.9364682096,4097.048417,3833.66673305,3965.357575025
58528.7623,63000.0,0.16657,put,61.24,0.074,0.0785,2024-09-01,2024-09-01,-1.0,0.0,0.0,-3e-05,-0.29127,0.07625,0.929027973015873,4594.50784055,4331.1284102,4462.818125375
58528.7623,63500.0,0.16657,put,61.25,0.0825,0.087,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.29237,0.08474999999999999,0.9217127921259843,5092.002320099999,4828.6228897500005,4960.312604925
58528.7623,64000.0,0.16657,put,61.28,0.091,0.0955,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.29467,0.09325,0.9145119109375001,5589.49679965,5326.1173693,5457.807084475
58528.7623,64500.0,0.16657,put,61.64,0.0995,0.105,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.29697,0.10225000000000001,0.9074226713178295,6145.5200415,5823.611848850001,5984.565945175
58528.7623,65000.0,0.16657,put,61.68,0.108,0.113,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.29928,0.1105,0.900442496923077,6613.7501399,6321.1063284,6467.42823415
58528.7623,66000.0,0.16657,put,62.15,0.125,0.13,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.30388,0.1275,0.8867994287878789,7608.739099,7316.0952875,7462.41719325
58528.7623,67000.0,0.16657,put,62.32,0.1425,0.147,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.30976,0.14475,0.8735636164179105,8603.7280581,8340.34862775,8472.038342925
58528.7623,68000.0,0.16657,put,65.01,0.16,0.164,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.31309,0.162,0.8607170926470589,9598.7170172,9364.601968,9481.6594926
58528.7623,69000.0,0.16657,put,65.38,0.177,0.1815,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.31769,0.17925,0.848242931884058,10622.97035745,10359.5909271,10491.280642275
58528.7623,70000.0,0.16657,put,72.89,0.1935,0.1985,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.32363,0.196,0.8361251757142858,11617.959316550001,11325.31550505,11471.637410800002
58528.7623,71000.0,0.16657,put,76.54,0.2105,0.2155,2024-09-01,2024-09-01,-1.0,0.0,0.0,0.0,-0.32825,0.213,0.8243487647887324,12612.94827565,12320.30446415,12466.626369900001
58531.3358,52000.0,1.16657,put,77.1,0.0,0.0003,2024-09-01,2024-09-02,-0.00313,0.0,0.3148,-2.45213,-0.00594,0.00015,1.1256026115384616,17.559400739999997,0.0,8.779700369999999
58531.3358,53000.0,1.16657,put,70.09,0.0,0.0005,2024-09-01,2024-09-02,-0.00602,1e-05,0.56739,-4.57142,-0.01154,0.00025,1.1043648264150943,29.2656679,0.0,14.63283395
58531.3358,54000.0,1.16657,put,66.51,0.0,0.0003,2024-09-01,2024-09-02,-0.01563,2e-05,1.30357,-12.46148,-0.02988,0.00015,1.0839136259259259,17.559400739999997,0.0,8.779700369999999
58531.3358,55000.0,1.16657,put,55.21,0.0001,0.0003,2024-09-01,2024-09-02,-0.02231,3e-05,1.75875,-15.3478,-0.04229,0.00019999999999999998,1.0642061054545455,17.559400739999997,5.853133580000001,11.70626716
58531.3358,56000.0,1.16657,put,48.57,0.0005,0.0007,2024-09-01,2024-09-02,-0.05231,7e-05,3.53991,-35.77823,-0.09913,0.0006000000000000001,1.045202425,40.97193506,29.2656679,35.11880148
58531.3358,56500.0,1.16657,put,46.57,0.0008,0.0013,2024-09-01,2024-09-02,-0.08786,0.0001,5.28154,-63.18465,-0.1666,0.00105,1.0359528460176992,76.09073654,46.825068640000005,61.45790259
58531.3358,57000.0,1.16657,put,42.85,0.0013,0.0019,2024-09-01,2024-09-02,-0.13438,0.00015,7.16636,-97.24304,-0.25482,0.0015999999999999999,1.0268655403508773,111.20953802,76.09073654,93.65013728
58531.5303,57500.0,1.16657,put,39.34,0.0023,0.0029,2024-09-01,2024-09-02,-0.20894,0.00022,9.5143,-155.46578,-0.39634,0.0026,1.0179396573913044,169.74143786999997,134.62251969,152.18197877999998
58531.5303,58000.0,1.16657,put,36.35,0.004,0.0047,2024-09-01,2024-09-02,-0.32496,0.0003,11.91668,-185.44951,-0.61697,0.00435,1.0091643155172414,275.09819241,234.1261212,254.612156805
58531.5303,58500.0,1.16657,put,33.79,0.007,0.008,2024-09-01,2024-09-02,-0.48495,0.00036,13.20006,-190.94289,-0.92213,0.0075,1.0005389794871795,468.2522424,409.7207121,438.98647725
58531.3358,59000.0,1.16657,put,32.66,0.0115,0.014,2024-09-01,2024-09-02,-0.66362,0.00034,12.08216,-168.9318,-1.26566,0.012750000000000001,0.9920565389830509,819.4387012000001,673.1103617,746.27453145
58531.5303,59500.0,1.16657,put,33.43,0.016,0.0215,2024-09-01,2024-09-02,-0.80467,0.00025,9.13854,-130.75995,-1.54201,0.01875,0.9837231983193278,1258.4279014499998,936.5044848,1097.4661931249998
58531.5303,60000.0,1.16657,put,35.24,0.0235,0.029,2024-09-01,2024-09-02,-0.89119,0.00016,6.1777,-93.19987,-1.71822,0.026250000000000002,0.975525505,1697.4143787,1375.49096205,1536.452670375
58531.5303,60500.0,1.16657,put,38.9,0.0325,0.0365,2024-09-01,2024-09-02,-0.9321,0.0001,4.34412,-72.29892,-1.8112,0.0345,0.9674633107438017,2136.40085595,1902.27473475,2019.3377953499999
58531.5602,61000.0,1.16657,put,42.29,0.0405,0.0455,2024-09-01,2024-09-02,-0.95676,7e-05,3.04027,-55.00342,-1.87299,0.043,0.9595337737704918,2663.1859891,2370.5281881,2516.8570885999998
58531.5602,61500.0,1.16657,put,42.36,0.049,0.054,2024-09-01,2024-09-02,-0.97995,3e-05,1.60683,-29.134,-1.93086,0.051500000000000004,0.9517326861788618,3160.7042508,2868.0464498,3014.3753503
58531.5602,62000.0,1.16657,put,48.48,0.057,0.0625,2024-09-01,2024-09-02,-0.98149,3e-05,1.50103,-31.14752,-1.94977,0.05975,0.9440574225806452,3658.2225125,3336.2989314,3497.26072195
58531.5602,62500.0,1.16657,put,49.44,0.0655,0.071,2024-09-01,2024-09-02,-0.99013,2e-05,0.87219,-18.4597,-1.98179,0.06825,0.9365049632,4155.7407742,3833.8171931,3994.7789836499996
