symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
PETRA218,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,39.27,0.32,AMERICAN,58,OTM,0.115524,0.03150494254343043,0.027895803710194254,-0.010624449994225842,0.007202955602725885,43.147,8.01,0.32
PETRA223,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,39.77,0.27,AMERICAN,58,OTM,0.101095,0.028943324010213562,0.025341172616203597,-0.009538642510386004,0.006326308226773277,42.665,6.94,0.27
PETRA232,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,32.52,1.51,EUROPEAN,58,OTM,0.387924,0.061755915771024926,0.054879372193195525,-0.021286254736709382,0.02318488765522266,43.304,31.12,1.51
PETRA233,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,41.77,0.2,AMERICAN,58,OTM,0.075573,0.022221009398220738,0.020396364894431075,-0.008027806924009862,0.004733501673948389,44.728,4.95,0.2
PETRA235,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,33.02,1.43,EUROPEAN,58,OTM,0.366206,0.058925776248731083,0.05390482190258719,-0.021469305575000413,0.021876389661304087,44.577,28.92,1.43
PETRA247,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,33.52,1.16,EUROPEAN,58,OTM,0.326516,0.059871453976864865,0.051656895523015535,-0.019404523954573705,0.019770099861199864,42.044,25.74,1.16
PETRA249,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,46.77,0.12,AMERICAN,58,OTM,0.044009,0.012829703417652537,0.013337142607117027,-0.005919061949345095,0.002748422945497408,50.657,2.57,0.12
PETRA250,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,6.27,23.55,AMERICAN,58,ITM,1.0,0.0,0.0,-0.000495333681582479,0.014364693607237064,0.0,100.0,23.6188
PETRA255,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,36.52,0.6,EUROPEAN,58,OTM,0.194754,0.04514690244925244,0.03946577707066356,-0.014906549731113095,0.012003602688646095,42.598,14.35,0.6
PETRA257,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,34.02,1.06,EUROPEAN,58,OTM,0.303158,0.057392000536159615,0.05004315026008698,-0.018964707404296777,0.018395046965640774,42.49,23.6,1.06
PETRA262,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,34.27,1.06,AMERICAN,58,OTM,0.297684,0.055405641061403756,0.04963301686570044,-0.019298946582200226,0.018018789865493347,43.652,22.95,1.06
PETRA265,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,37.02,0.58,EUROPEAN,58,OTM,0.185569,0.04256283470690651,0.03831144424077646,-0.014880134995444732,0.011418363398040761,43.862,13.46,0.58
PETRA266,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,21.02,9.54,EUROPEAN,58,ITM,0.89143,0.018726550754456606,0.026684599431626935,-0.01732881085682707,0.03930680153918381,69.438,81.62,9.54
PETRA274,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,17.27,13.28,AMERICAN,58,ITM,0.921154,0.010511642468379677,0.021063923964581725,-0.018860374461089607,0.03274162179145692,97.648,82.75,13.28
PETRA275,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,34.52,0.91,EUROPEAN,58,OTM,0.273624,0.05572129590641929,0.047681194477116204,-0.017716071105234807,0.016710476481943334,41.698,21.13,0.91
PETRA278,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,35.02,0.9,EUROPEAN,58,OTM,0.262879,0.05216764715269567,0.04672970792262252,-0.01813559845646552,0.01599503414222939,43.65,19.94,0.9
PETRA281,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,11.77,18.9,AMERICAN,58,ITM,0.944817,0.004830601744193047,0.015977582259695713,-0.02293915957343953,0.021432911912097428,161.177,79.48,18.9
PETRA284,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,18.27,12.15,AMERICAN,58,ITM,0.924948,0.011852243036697926,0.02028892512992185,-0.015817565464962362,0.03560316995235932,83.416,85.06,12.15
PETRA287,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,35.52,0.7,EUROPEAN,58,OTM,0.225127,0.050774805316455146,0.04297705182784435,-0.01575920844094938,0.013860785104097773,41.246,17.03,0.7
PETRA291,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,18.02,12.4,EUROPEAN,58,ITM,0.926441,0.01141180665523206,0.019980071620212668,-0.015906527574174326,0.035130397369362555,85.317,85.09,12.4
