symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
VALEA10,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,78.41,2.05,AMERICAN,58,OTM,0.28485,0.02681358135798026,0.11263225732511867,-0.038439142389940575,0.04063017748385617,38.146,22.62,2.05
VALEA101,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,80.41,2.2,AMERICAN,58,OTM,0.275113,0.02318668807693827,0.11074872037896903,-0.04274677003219265,0.038734653868351,43.375,21.03,2.2
VALEA103,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,82.41,1.51,AMERICAN,58,OTM,0.216326,0.021910603809559028,0.0973074476510285,-0.03489879394709869,0.030963870083361218,40.33,16.4,1.51
VALEA105,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,84.41,1.25,AMERICAN,58,OTM,0.184812,0.01972616757698731,0.08852258620363265,-0.03201414420455232,0.026545375234965703,40.752,13.73,1.25
VALEA107,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,86.41,0.92,AMERICAN,58,OTM,0.147069,0.017467243939129847,0.07635757899628612,-0.026865453417510773,0.02129590554248669,39.698,10.76,0.9201
VALEA3,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,111.41,0.15,EUROPEAN,58,OTM,0.026663,0.0038679680254113157,0.020468365464315498,-0.008613796700741243,0.003899595011936793,48.055,1.53,0.15
VALEA712,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,67.91,7.3,EUROPEAN,58,ATM,0.585353,0.023653251795846743,0.12934449969333342,-0.05800512457373786,0.07638712530728388,49.659,49.1,7.3
VALEA76,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,69.91,5.1,EUROPEAN,58,ATM,0.525741,0.029972552222602637,0.13211040533923848,-0.04806705907979565,0.0719604572460584,40.027,44.93,5.1
VALEA779,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,70.91,5.21,EUROPEAN,58,ATM,0.504082,0.027243477987363613,0.13237886576725738,-0.052709934795104454,0.06825906242760114,44.126,42.02,5.21
VALEA784,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,71.41,4.96,AMERICAN,58,ATM,0.490132,0.027443749746965895,0.13234534969404363,-0.05226040758138915,0.066613547827557,43.793,40.72,4.96
