symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
PETRW321,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,39.02,12.59,EUROPEAN,1,ITM,-1.0,0.0,0.0,0.0030965796425135,-0.0015481907307082,0.0,100.0,11.8569,-0.7331000000000003
PETRK233,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,7.02,20.78,EUROPEAN,8,ITM,1.0,0.0,0.0,-0.0005567892282749,0.0022271546859426,0.0,100.0,20.1345,-0.645500000000002
PETRK233,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,7.02,20.5,EUROPEAN,7,ITM,1.0,0.0,0.0,-0.0005568334168214,0.0019489325502106,0.0,100.0,19.8839,-0.6160999999999994
PETRK233,2022-11-04T00:00:00.000Z,"{'price': 28.3, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,7.02,21.8,EUROPEAN,10,ITM,1.0,0.0,0.0,-0.0005567008505675,0.0027835365414869,0.0,100.0,21.2856,-0.514400000000002
PETRW385,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,41.52,14.8,EUROPEAN,1,ITM,-1.0,0.0,0.0,0.0032949765955193,-0.0016473828585085,0.0,100.0,14.3567,-0.4433000000000007
PETRW418,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,43.02,16.21,EUROPEAN,1,ITM,-1.0,0.0,0.0,0.0034140147673227,-0.0017068981351888,0.0,100.0,15.8566,-0.3534000000000006
PETRK145,2022-11-16T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,14.52,12.96,EUROPEAN,2,ITM,1.0,0.0,0.0,-0.0011521980379468,0.0011522694742252,0.0,100.0,12.6323,-0.3277000000000001
PETRK165,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,16.52,10.93,EUROPEAN,1,ITM,1.0,0.0,0.0,-0.0013110070654619,0.0006554615805048,0.0,100.0,10.6413,-0.2887000000000004
PETRW526,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,46.02,19.13,EUROPEAN,1,ITM,-1.0,0.0,0.0,0.0036520911109296,-0.0018259286885492,0.0,100.0,18.8563,-0.27369999999999806
PETRK822,2022-11-16T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,8.22,19.18,EUROPEAN,2,ITM,1.0,0.0,0.0,-0.0006522774016476,0.0006523178428465,0.0,100.0,18.9313,-0.24869999999999948
