symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
VALEW145,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,145.84,63.8,EUROPEAN,1,ITM,-1.0,0.0,0.0,0.0115736846505427,-0.0057864719673625,0.0,100.0,62.7284,-1.0715999999999966
VALEK731,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,69.84,14.05,EUROPEAN,3,ITM,0.904787,0.0142456390772619,0.0153890246986541,-0.3401851266042548,0.0073010857152276,130.739,87.83,14.0499,-0.0001000000000015433
VALEW101,2022-11-16T00:00:00.000Z,"{'price': 82.44, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,94.34,12.3,EUROPEAN,2,ITM,-0.894116,0.0214286598311616,0.013436297027051,-0.3836053044923348,-0.00682668041806,116.239,91.19,12.2999,-0.0001000000000015433
VALEL692,2022-11-22T00:00:00.000Z,"{'price': 80.14, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,65.91,15.46,EUROPEAN,18,ITM,0.867014,0.0138271930583067,0.0460253146210778,-0.0970518642659332,0.0385877701949701,72.559,82.08,15.4599,-0.0001000000000015433
VALEG845,2022-11-24T00:00:00.000Z,"{'price': 81.45, 'symbol': 'VALE3'}",CALL,2023-07-21T00:00:00.000Z,81.16,12.8,EUROPEAN,171,ATM,0.59259,0.0126182408420748,0.2604277194815003,-0.0377266069426887,0.240665442596028,45.847,44.3,12.7999,-0.0001000000000015433
VALEL752,2022-11-28T00:00:00.000Z,"{'price': 81.3, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,71.91,10.38,EUROPEAN,13,ITM,0.844522,0.0224949930891244,0.0440905887326243,-0.1021049778970547,0.0300647505770534,57.483,81.13,10.3799,-0.0001000000000015433
VALEL772,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,73.91,9.96,EUROPEAN,21,ITM,0.868255,0.0229601556397383,0.0512169266000598,-0.0522058743132601,0.0518264953466501,38.763,84.29,9.9599,-0.0001000000000015433
VALEA819,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,74.91,4.4,EUROPEAN,55,ATM,0.469883,0.0293390606527118,0.1342731553792185,-0.0513796409111753,0.0644920971934297,40.17,39.62,4.3999,-0.00010000000000065512
VALEL842,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,80.91,4.69,EUROPEAN,21,ATM,0.627242,0.0437395545249592,0.0907915817484112,-0.0817386630682284,0.0395280918285321,36.071,58.72,4.6899,-0.00010000000000065512
VALEL771,2022-11-18T00:00:00.000Z,"{'price': 80.83, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,75.91,6.9,EUROPEAN,20,ITM,0.71952,0.0336255239967086,0.0767170628537237,-0.0884562497229002,0.0406815929818299,44.0,67.63,6.8999,-0.00010000000000065512
VALEX912,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,87.91,6.78,EUROPEAN,21,ITM,-0.656442,0.0374456366966328,0.0882456444922301,-0.0811761484789187,-0.0511083463988165,40.952,69.88,6.7799,-0.00010000000000065512
VALEX802,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,76.91,5.74,EUROPEAN,30,ITM,-0.70833,0.0473070714002327,0.0855611378787159,-0.0369855187528529,-0.0677582826078433,29.104,74.18,5.7399,-0.00010000000000065512
VALEA852,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,81.91,6.65,EUROPEAN,50,ATM,0.556288,0.0249179399921242,0.1447916473199051,-0.0657101013567233,0.0776441983621525,43.238,47.97,6.6499,-0.00010000000000065512
VALEM94,2022-11-03T00:00:00.000Z,"{'price': 67.15, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,72.41,6.49,EUROPEAN,56,ITM,-0.692763,0.0417616411033424,0.1112390743950932,-0.0221951614494032,-0.1177976175886999,26.583,73.53,6.4899,-0.00010000000000065512
VALEX922,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,88.91,7.9,EUROPEAN,25,ITM,-0.7284079999999999,0.0355794415377674,0.0859620770466264,-0.0564323422194896,-0.0673091667996358,35.956,76.46,7.8999,-0.00010000000000065512
VALEW897,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,89.84,7.44,EUROPEAN,1,ITM,-0.81004,0.0385731448914415,0.0142031498913169,-0.94841866896892,-0.0029662483855647,134.377,83.21,7.4399,-0.00010000000000065512
VALEA819,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,74.91,5.69,EUROPEAN,53,ATM,0.52559,0.0267072926815537,0.1352002013097829,-0.0586253589845512,0.069888363656295,43.896,44.55,5.6899,-0.00010000000000065512
VALEW893,2022-11-16T00:00:00.000Z,"{'price': 82.44, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,89.34,7.23,EUROPEAN,2,ITM,-0.873383,0.0369545087817006,0.0152551789452268,-0.2855538567267378,-0.0062886156168581,76.528,88.7,7.2299,-0.00010000000000065512
VALES766,2022-11-23T00:00:00.000Z,"{'price': 80.93, 'symbol': 'VALE3'}",PUT,2023-07-21T00:00:00.000Z,76.66,4.9,EUROPEAN,172,OTM,-0.341654,0.0194927962521244,0.2454397869621642,-0.0175126822558465,-0.2221667493893152,28.166,43.04,4.8999,-0.00010000000000065512
VALEM107,2022-11-25T00:00:00.000Z,"{'price': 80.9, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,86.41,6.9,EUROPEAN,40,ITM,-0.6940109999999999,0.0389214925077345,0.1130616527257931,-0.0345144489496211,-0.1000720212175315,27.962,73.19,6.8999,-0.00010000000000065512
VALEM892,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,85.91,4.49,EUROPEAN,38,ATM,-0.527301,0.0414707774996641,0.1305064742414615,-0.0463704042949789,-0.0739120394028017,29.269,57.23,4.4899,-0.00010000000000065512
VALEX907,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,87.41,6.94,EUROPEAN,25,ITM,-0.6676599999999999,0.0373136961829373,0.0941412513286382,-0.065782717194624,-0.0613969668845677,37.547,70.94,6.9399,-0.00010000000000065512
VALET100,2022-11-17T00:00:00.000Z,"{'price': 83.1, 'symbol': 'VALE3'}",PUT,2023-08-18T00:00:00.000Z,84.74,7.73,EUROPEAN,196,ATM,-0.46152,0.0209427978140224,0.2910129617143523,-0.0155490824408905,-0.3584176698425913,25.871,55.23,7.7299,-0.00010000000000065512
VALEM107,2022-11-16T00:00:00.000Z,"{'price': 82.44, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,86.41,6.49,EUROPEAN,47,ATM,-0.603518,0.0354564259071898,0.1372264613861134,-0.0401099602319738,-0.1048995000444839,30.533,65.33,6.4899,-0.00010000000000065512
VALEX803,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,80.41,2.27,EUROPEAN,23,ATM,-0.346982,0.0402613686619991,0.0929289612468907,-0.0711349399215062,-0.0284552619940567,36.437,38.84,2.2699,-0.00010000000000021103
VALEA922,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,88.91,2.12,EUROPEAN,50,OTM,0.316802,0.032119422992142,0.1305443530496766,-0.041381098479432,0.0475256079736805,30.243,27.05,2.1199,-0.00010000000000021103
VALET600,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",PUT,2024-08-16T00:00:00.000Z,60.0,2.45,EUROPEAN,458,OTM,-0.127657,0.0064963124712914,0.2346137451215577,-0.0062945687356498,-0.2378153534009927,28.63,22.62,2.4499,-0.00010000000000021103
VALEB980,2022-11-30T00:00:00.000Z,"{'price': 85.71, 'symbol': 'VALE3'}",CALL,2023-02-17T00:00:00.000Z,94.66,3.1,EUROPEAN,57,OTM,0.332679,0.0233919448799174,0.1480996099930842,-0.051516525368249,0.0574839395437028,38.102,26.97,3.0999,-0.00010000000000021103
VALEM819,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,74.91,2.33,EUROPEAN,50,OTM,-0.2541069999999999,0.0229017978359476,0.1175005856189181,-0.0430133345839543,-0.0461170276731475,38.177,31.15,2.3299,-0.00010000000000021103
VALES746,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",PUT,2023-07-21T00:00:00.000Z,74.66,3.99,EUROPEAN,178,OTM,-0.269417,0.0156244860952943,0.2312588076458811,-0.0175142264832654,-0.186723745238652,30.191,35.91,3.9899,-0.00010000000000021103
VALEW843,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,84.34,3.16,EUROPEAN,5,ATM,-0.644463,0.0752485539566786,0.0431814675178457,-0.1799305710235198,-0.011150492127122,42.701,66.66,3.1599,-0.00010000000000021103
VALEM829,2022-11-23T00:00:00.000Z,"{'price': 80.93, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,75.91,2.06,EUROPEAN,42,OTM,-0.284311,0.0312929895791003,0.1120398154956715,-0.0417574377312402,-0.0417821279560408,32.799,33.14,2.0599,-0.00010000000000021103
VALEN820,2022-11-23T00:00:00.000Z,"{'price': 80.93, 'symbol': 'VALE3'}",PUT,2023-02-17T00:00:00.000Z,78.66,3.6,EUROPEAN,62,ATM,-0.383675,0.0311072305698278,0.1532884762317655,-0.035052817078473,-0.0852519496690356,30.58,44.27,3.5999,-0.00010000000000021103
VALEP738,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2023-04-20T00:00:00.000Z,70.55,3.85,EUROPEAN,116,ATM,-0.368218,0.027616283529294,0.1870910805646365,-0.0197370553798009,-0.1417089117912521,27.504,44.04,3.8499,-0.00010000000000021103
VALES766,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2023-07-21T00:00:00.000Z,76.66,3.97,EUROPEAN,168,OTM,-0.280477,0.0167768837729736,0.2322763558067068,-0.0179403854188857,-0.184356190668424,29.127,36.56,3.9699,-0.00010000000000021103
VALEM789,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,71.91,3.04,EUROPEAN,53,ATM,-0.37975,0.0359834142879915,0.1292769721627516,-0.0355205593696401,-0.0655356876463133,31.153,43.52,3.0399,-0.00010000000000021103
VALEK798,2022-11-16T00:00:00.000Z,"{'price': 82.44, 'symbol': 'VALE3'}",CALL,2022-11-18T00:00:00.000Z,79.84,2.81,EUROPEAN,2,ATM,0.853009,0.0895704283628551,0.0168939720904018,-0.153023805845572,0.0053584374370072,34.965,84.57,2.8099,-0.00010000000000021103
VALEA942,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,90.91,2.87,EUROPEAN,50,OTM,0.327481,0.0246129087856189,0.1323520261673819,-0.0548687896270294,0.047781346332842,40.013,26.6,2.8699,-0.00010000000000021103
VALEX747,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,71.41,2.1,EUROPEAN,28,ATM,-0.346788,0.0435841120447667,0.0911177389410963,-0.0536272319848069,-0.0308661926697244,34.314,38.99,2.0999,-0.00010000000000021103
VALEL912,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,87.91,2.2,EUROPEAN,25,OTM,0.334167,0.0341063587234064,0.0943452576088633,-0.0796862176599012,0.0251011268220489,41.167,28.84,2.1999,-0.00010000000000021103
VALET600,2022-11-30T00:00:00.000Z,"{'price': 85.71, 'symbol': 'VALE3'}",PUT,2024-08-16T00:00:00.000Z,60.0,2.02,EUROPEAN,447,OTM,-0.1094629999999999,0.0058045212693338,0.2138941999477063,-0.0058609530643678,-0.2022498111819097,28.279,19.69,2.0199,-0.00010000000000021103
VALEL892,2022-11-11T00:00:00.000Z,"{'price': 82.3, 'symbol': 'VALE3'}",CALL,2022-12-16T00:00:00.000Z,85.91,2.81,EUROPEAN,25,ATM,0.399931,0.0364476963490506,0.1001432353341433,-0.0842860644542327,0.0298653846304423,40.89,35.11,2.8099,-0.00010000000000021103
VALEM707,2022-11-07T00:00:00.000Z,"{'price': 71.87, 'symbol': 'VALE3'}",PUT,2023-01-20T00:00:00.000Z,67.41,2.33,EUROPEAN,53,OTM,-0.302222,0.031320571294427,0.1149806623924137,-0.0347472450041993,-0.0505825292690762,33.793,35.83,2.3299,-0.00010000000000021103
VALEX842,2022-11-23T00:00:00.000Z,"{'price': 80.93, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,80.91,2.68,EUROPEAN,17,ATM,-0.4755589999999999,0.0578281842976494,0.0837001680462806,-0.07737655132082,-0.0277712125627014,32.758,50.95,2.6799,-0.00010000000000021103
VALEX772,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,73.91,3.08,EUROPEAN,28,ATM,-0.463213,0.0489429361637256,0.0980532584733339,-0.0546089705780063,-0.0415342443708505,32.883,50.69,3.0799,-0.00010000000000021103
